Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
3374	statemap.jpg	ND	673	292	250	
3391	statemap.jpg	ND	670	321	250	
3408	statemap.jpg	ND	666	308	250	
3424	statemap.jpg	ND	673	313	250	
3441	statemap.jpg	ND	667	318	250	
3458	statemap.jpg	ND	677	319	250	
3474	statemap.jpg	ND	661	309	250	
3491	statemap.jpg	Content	0	0		
3508	statemap.jpg	Content	0	0		
3524	statemap.jpg	Content	0	0		
3541	statemap.jpg	ND	677	319	749	
3557	statemap.jpg	ND	670	331	749	
3574	statemap.jpg	ND	672	311	749	
3591	statemap.jpg	ND	665	338	749	
3607	statemap.jpg	ND	664	331	749	
3624	statemap.jpg	ND	668	313	749	
3641	statemap.jpg	ND	673	325	749	
3657	statemap.jpg	ND	665	311	749	
3674	statemap.jpg	ND	668	320	749	
3691	statemap.jpg	ND	671	321	749	
3707	statemap.jpg	ND	676	310	749	
3724	statemap.jpg	ND	669	321	749	
3741	statemap.jpg	ND	706	326	749	
3757	statemap.jpg	ND	713	318	749	
3774	statemap.jpg	ND	710	323	749	
3791	statemap.jpg	ND	706	317	749	
3807	statemap.jpg	ND	713	324	749	
3824	statemap.jpg	ND	712	324	749	
3841	statemap.jpg	ND	714	305	749	
3857	statemap.jpg	ND	710	327	749	
3874	statemap.jpg	ND	706	316	749	
3891	statemap.jpg	ND	718	325	749	
3907	statemap.jpg	ND	714	310	749	
3924	statemap.jpg	ND	706	319	749	
3941	statemap.jpg	ND	709	319	749	
3957	statemap.jpg	ND	710	324	749	
3974	statemap.jpg	ND	716	320	749	
3991	statemap.jpg	ND	688	336	749	
4007	statemap.jpg	ND	684	322	749	
4024	statemap.jpg	ND	673	321	749	
4040	statemap.jpg	ND	677	331	749	
4057	statemap.jpg	ND	679	334	749	
4074	statemap.jpg	ND	670	325	749	
4090	statemap.jpg	ND	677	302	749	
4107	statemap.jpg	ND	672	337	749	
4124	statemap.jpg	ND	671	324	749	
4140	statemap.jpg	ND	673	328	749	
4157	statemap.jpg	ND	677	313	749	
4174	statemap.jpg	ND	679	309	749	
4190	statemap.jpg	ND	674	332	749	
4207	statemap.jpg	ND	675	322	749	
4224	statemap.jpg	ND	679	334	749	
4240	statemap.jpg	ND	670	328	749	
4257	statemap.jpg	ND	679	317	749	
4274	statemap.jpg	ND	703	311	749	
4290	statemap.jpg	MN	813	357	216	
4307	statemap.jpg	MN	809	351	216	
4324	statemap.jpg	MN	811	360	216	
4340	statemap.jpg	MN	809	360	216	
4357	statemap.jpg	MN	807	365	216	
4374	statemap.jpg	MN	797	371	216	
4390	statemap.jpg	MN	806	352	216	
4407	statemap.jpg	MN	806	368	216	
4424	statemap.jpg	MN	801	366	216	
4440	statemap.jpg	MN	805	366	216	
4457	statemap.jpg	MN	822	365	216	
4474	statemap.jpg	MN	806	381	216	
4490	statemap.jpg	MN	812	373	216	
4507	statemap.jpg	Content	0	0		
4523	statemap.jpg	Content	0	0		
4540	statemap.jpg	Content	0	0		
4557	statemap.jpg	MN	806	365	616	
4573	statemap.jpg	MN	806	367	616	
4590	statemap.jpg	MN	801	378	616	
4607	statemap.jpg	MN	811	369	616	
4623	statemap.jpg	MN	812	371	616	
4640	statemap.jpg	MN	810	367	616	
4657	statemap.jpg	MN	840	363	616	
4673	statemap.jpg	MN	833	363	616	
4690	statemap.jpg	MN	847	376	616	
4707	statemap.jpg	MN	842	373	616	
4723	statemap.jpg	MN	841	371	616	
4740	statemap.jpg	MN	829	376	616	
4757	statemap.jpg	MN	844	383	616	
4773	statemap.jpg	MN	832	365	616	
4790	statemap.jpg	MN	841	374	616	
4807	statemap.jpg	MN	836	376	616	
4823	statemap.jpg	MN	837	371	616	
